kecamatan,cluster,is_medoid,x1,x2,x3,x4,x5,x6,x7,dim1,dim2
Tegalsari,1,1,24.5034,17.6818,22.1642,11.0717,0.0340345,0.0733323,0.180707,3.82354,1.32659
Genteng,1,1,26.9749,27.0011,24.8253,16.5319,0.789752,0.477942,0.103043,9.34644,2.07368
Bubutan,0,0,16.2258,16.4877,14.3046,27.165,0.953453,0.981251,0.312317,8.40645,9.74131
Simokerto,0,0,27.6521,12.0471,12.8431,28.2525,0.229125,0.986712,0.19363,2.61472,9.10087
Pabean Cantian,1,0,39.9336,29.835,38.8436,27.2447,0.278877,0.125261,0.715667,9.76464,8.94633
Semampir,1,0,30.1948,11.4661,21.5334,3.57917,0.631783,0.829521,0.144718,6.91336,9.92834
Krembangan,1,0,16.7607,24.693,36.1574,28.7476,0.616142,0.649135,0.116324,5.21909,1.4651
Kenjeran,1,0,33.7245,12.5196,22.822,4.71104,0.476886,0.132611,0.109782,1.25792,2.8306
Bulak,0,0,16.402,25.1193,12.5613,24.3302,0.0936057,0.756945,0.362887,6.32039,4.29745
Tambaksari,1,0,37.8774,14.0247,24.8068,19.4801,0.158414,0.503812,0.129971,9.09894,3.36711
Gubeng,0,1,19.657,17.7538,28.9159,14.5167,0.888695,0.488597,0.839102,2.45218,5.54677
Rungkut,0,0,24.9572,29.4142,21.949,24.5974,0.616735,0.703556,0.211394,3.0137,6.7134
Tenggilis Mejoyo,0,0,17.0771,22.58,30.5701,12.4041,0.87529,0.640808,0.765995,7.08305,4.79278
Gunung Anyar,1,0,32.9813,17.7631,15.2546,28.3031,0.0667515,0.731181,0.639411,2.53205,7.70211
Sukolilo,0,0,21.7316,10.0723,35.7231,4.64627,0.132571,0.692808,0.359294,5.41469,4.62745
Mulyorejo,1,0,35.8449,27.0957,38.2064,20.8425,0.858987,0.612653,0.420609,6.15007,5.11516
Sawahan,0,0,14.8809,17.1778,39.7733,3.71034,0.128937,0.626359,0.0695852,7.03392,5.86438
Wonokromo,1,0,14.9389,22.8659,14.2612,5.46934,0.828013,0.960468,0.348957,3.94621,4.94939
Karangpilang,1,0,34.4007,23.4343,17.2608,26.8028,0.515531,0.608439,0.195939,6.4067,8.92009
Dukuh Pakis,0,0,32.6075,12.5466,30.6266,8.26902,0.591484,0.936257,0.564893,5.62498,2.4834
Wiyung,1,0,24.0459,21.6266,37.8813,3.47039,0.961456,0.827184,0.401941,1.69353,4.83021
Wonocolo,0,0,19.171,18.4577,21.3325,23.9166,0.886722,0.314445,0.189049,4.57422,0.523214
Gayungan,0,0,37.735,27.9267,36.0919,15.8681,0.265358,0.76877,0.332325,4.9999,7.21225
Jambangan,1,0,36.6919,29.5879,26.209,6.58122,0.572245,0.45866,0.137233,5.63875,2.88295
Tandes,1,0,27.6021,12.6806,16.8671,15.9827,0.435627,0.0390015,0.695348,6.10201,7.65591
Sukomanunggal,0,0,37.7362,21.8988,11.0128,6.19834,0.644788,0.453002,0.755753,1.56002,7.52326
Asemrowo,0,0,12.5554,10.5927,20.8031,16.7597,0.183853,0.30157,0.241658,3.90774,9.72955
Benowo,0,0,26.1212,20.9173,33.8895,27.4479,0.831017,0.769351,0.713861,9.88588,7.02396
Pakal,0,0,10.1105,22.3133,23.8441,19.1084,0.234138,0.0416328,0.776641,0.301856,7.86772
Lakarsantri,0,0,12.0482,16.9647,17.8421,23.9744,0.347844,0.31732,0.0912048,5.80278,0.296867
Sambikerep,0,0,39.6376,16.1727,17.8052,17.409,0.909144,0.514349,0.186497,1.84598,5.47221
