kecamatan,x1,x2,x3,x4,x5,x6,x7
Asem Rowo,13.5,11.57142857,16.2,0.03875969,1,1,1.2
Benowo,32.72058824,21.29932203,34.81666667,0.186046512,1,1,1.066666667
Bubutan,4.555555556,5.125,13.66666667,0.046511628,1,1,3
Bulak,32.03030303,21.57142857,32.03030303,0.255813953,1,1,1
Dukuh Pakis,26.375,15.36569708,27.58333333,0.110465116,1,1,1.083333333
Gayungan,23.58768769,17.79487179,30.66294643,0.168604651,1,1,1.352678571
Genteng,30.25591113,17.272535,31.54379507,0.172868217,1,1,1.054150169
Gubeng,18.49108292,13.13300284,20.50910364,0.088593577,1,1,1.096405229
Jambangan,23.97996032,13.76627376,29.25463203,0.139534884,1,1,1.214545455
Karangpilang,18.81676413,15.52657005,22.54861111,0.069767442,1,1,1.326388889
Kenjeran,29.35294118,16.50833333,32.09722222,0.197674419,1,1,1.138888889
Krembangan,17.12974638,14.21941039,25.12389655,0.108527132,1,1,1.795751428
Lakarsantri,19.25202703,19.88218137,23.475,0.112403101,1,1,1.520833333
Mulyorejo,23.86932942,16.34507486,26.88690476,0.118863049,1,1,1.149305556
Pabean Cantian,20.1547619,12.2630719,22.97727273,0.090439276,1,1,1.213636364
Pakal,24.09074074,23.24434389,26.68055556,0.072351421,1,1,1.125
Rungkut,23.55193699,17.38994709,27.19753086,0.147286822,1,1,2.024691358
Sambikerep,14.90310458,12.89786325,17.06944444,0.058139535,1,1,1.180555556
Sawahan,25.19522409,19.88265306,25.78284314,0.090808416,1,1,1.071428571
Semampir,15.26704545,8.532875458,22.84217172,0.085271318,1,1,1.166666667
Simokerto,23.22708333,11.29982517,24.96666667,0.065891473,1,1,1.119047619
Sukolilo,19.6100214,12.02567714,24.23499179,0.083861875,1,1,1.15952381
Sukomanunggal,13.62903139,11.08190285,22.61602564,0.073643411,1,1,1.762087912
Tambaksari,20.81970638,16.05642561,24.14960981,0.086378738,1,1,1.207692308
Tandes,23.7452381,21.43627451,24.81666667,0.139534884,1,1,1.083333333
Tegalsari,25.19914232,16.6002886,28.47790648,0.167958656,1,1,1.115401115
Tenggilis Mejoyo,29.53392857,16.37704918,34.77543424,0.170542636,1,1,1.179900744
Wiyung,27.91666667,14.14705882,27.91666667,0.139534884,1,1,1
Wonocolo,23.56443932,14.30720761,24.46207234,0.120708749,1,1,1.060550202
Wonokromo,22.43567251,14.73094329,26.39229303,0.094315245,1,1,1.218613834
