kecamatan,cluster,is_medoid,x1,x2,x3,x4,x5,x6,x7,dim1,dim2
Tegalsari,1,0,28.5,18.2,30.1,12.5,0.95,0.85,0.98,0.72,0.45
Genteng,1,0,27.8,19.5,29.5,13.2,0.92,0.88,0.97,0.68,0.51
Bubutan,1,1,26.4,18.8,28.9,14.1,0.94,0.90,0.99,0.75,0.48
Simokerto,1,0,29.2,19.1,30.5,12.8,0.91,0.86,0.95,0.65,0.52
Pabean Cantian,1,0,30.1,18.9,31.2,13.5,0.93,0.82,0.96,0.61,0.55
Semampir,0,0,35.4,22.5,34.8,10.2,0.75,0.68,0.82,0.32,0.78
Krembangan,0,0,34.8,23.1,33.9,9.8,0.78,0.65,0.80,0.29,0.82
Kenjeran,0,0,36.2,24.5,35.2,8.5,0.72,0.62,0.78,0.25,0.85
Bulak,0,1,37.1,25.2,36.5,8.1,0.70,0.60,0.75,0.21,0.88
Tambaksari,1,0,29.8,19.4,30.2,13.8,0.90,0.84,0.94,0.58,0.59
Gubeng,1,0,27.2,17.5,29.8,14.5,0.96,0.89,0.97,0.79,0.42
Rungkut,0,0,33.5,21.8,32.5,9.5,0.80,0.70,0.85,0.35,0.75
Tenggilis Mejoyo,1,0,28.9,18.6,29.4,13.9,0.92,0.87,0.96,0.64,0.53
Gunung Anyar,0,0,32.8,22.3,33.2,9.2,0.76,0.66,0.83,0.30,0.79
Sukolilo,1,0,26.8,17.8,28.6,15.2,0.95,0.91,0.98,0.77,0.40
Mulyorejo,1,0,27.5,18.5,29.2,14.8,0.93,0.88,0.95,0.71,0.47
Sawahan,1,0,29.5,19.2,30.8,13.1,0.92,0.84,0.93,0.62,0.56
Wonokromo,1,0,28.2,18.9,29.7,13.6,0.94,0.86,0.96,0.67,0.49
Karangpilang,0,0,34.2,23.5,33.6,8.9,0.79,0.69,0.84,0.31,0.77
Dukuh Pakis,1,0,27.9,18.1,29.1,14.2,0.95,0.87,0.94,0.70,0.45
Wiyung,0,0,33.8,22.8,32.9,9.1,0.77,0.65,0.81,0.28,0.80
Wonocolo,1,0,29.3,19.0,30.4,13.4,0.91,0.85,0.95,0.63,0.54
Gayungan,1,0,28.6,18.4,29.8,14.0,0.93,0.89,0.97,0.69,0.48
Jambangan,1,0,29.0,18.7,30.0,13.7,0.92,0.86,0.94,0.65,0.50
Tandes,0,0,35.8,24.0,34.5,8.8,0.74,0.63,0.79,0.26,0.83
Sukomanunggal,0,0,34.5,22.7,33.8,9.3,0.76,0.67,0.82,0.33,0.76
Asemrowo,0,0,36.5,24.8,35.6,8.2,0.71,0.61,0.76,0.22,0.87
Benowo,0,0,35.2,23.9,34.2,8.6,0.73,0.64,0.80,0.27,0.81
Pakal,0,0,36.8,24.9,35.8,8.0,0.70,0.60,0.75,0.20,0.89
Lakarsantri,0,0,33.9,22.4,33.0,9.4,0.78,0.68,0.83,0.32,0.77
Sambikerep,0,0,34.8,23.2,34.0,8.7,0.75,0.65,0.81,0.29,0.80
